phase,episode,timestep,return,episode_length,food_collected,total_food_collected,final_snake_length,max_snake_length,epsilon
train,118,29197,89.94099999999995,59,1,116,2,2,0.653285625
train,119,29594,88.10299999999964,397,1,117,2,2,0.64857125
validation,120,30000,-3.9999999999998903,1000,0,121,1,1,0.0
train,120,30020,402.0740000000013,426,4,121,1,5,0.6435125
train,121,30061,-7.040999999999997,41,0,121,1,1,0.643025625
train,122,30433,394.12800000000175,372,4,125,5,5,0.638608125
train,123,30767,388.66600000000483,334,4,129,5,5,0.634641875
train,124,30816,-12.049000000000003,49,0,129,1,1,0.6340600000000001
train,125,31053,185.26299999999898,237,2,131,3,3,0.631245625
train,126,31101,-7.548000000000004,48,0,131,1,1,0.6306756250000001
train,127,31565,382.0360000000027,464,4,135,5,5,0.6251656250000001
train,128,31706,91.35899999999984,141,1,136,2,2,0.62349125
train,129,32815,389.3910000000051,1109,4,140,5,5,0.610321875
train,130,32834,-14.018999999999998,19,0,140,1,1,0.61009625
train,131,32955,82.8789999999998,121,1,141,2,2,0.608659375
train,132,33060,-11.104999999999995,105,0,141,1,1,0.6074125
train,133,33404,81.6559999999996,344,1,142,2,2,0.6033275
train,134,33946,389.95800000000327,542,4,146,5,5,0.59689125
train,135,34143,184.3029999999992,197,2,148,3,3,0.5945518750000001
train,136,34233,-11.589999999999996,90,0,148,1,1,0.5934831250000001
train,137,34639,391.0940000000028,406,4,152,5,5,0.588661875
train,138,34704,80.43499999999986,65,1,153,2,2,0.58789
train,139,34748,-15.044,44,0,153,1,1,0.5873675
train,140,35166,388.582000000001,418,4,157,5,5,0.5824037500000001
train,141,35271,184.89499999999978,105,2,159,3,3,0.581156875
train,142,35505,-7.733999999999988,234,0,159,1,1,0.578378125
train,143,35550,-5.544999999999997,45,0,159,1,1,0.57784375
train,144,35756,182.79399999999907,206,2,161,3,3,0.5753975
train,145,36116,494.1400000000033,360,5,166,6,6,0.5711225
train,146,36584,288.5319999999998,468,3,169,4,4,0.5655650000000001
train,147,36751,185.33299999999952,167,2,171,3,3,0.563581875
train,148,36902,-5.1510000000000185,151,0,171,1,1,0.5617887500000001
train,149,37306,196.0959999999995,404,2,173,3,3,0.55699125
train,150,37949,380.35700000000065,643,4,177,5,5,0.549355625
train,151,38270,584.679000000003,321,6,183,7,7,0.54554375
train,152,38325,96.94499999999987,55,1,184,2,2,0.5448906250000001
train,153,38698,388.12700000000655,373,4,188,5,5,0.54046125
train,154,38836,288.86200000000065,138,3,191,4,4,0.5388225
train,155,38852,-10.515999999999998,16,0,191,1,1,0.5386325000000001
train,156,38912,96.4399999999999,60,1,192,2,2,0.53792
train,157,39234,89.17799999999987,322,1,193,2,2,0.5340962499999999
train,158,39256,-10.022,22,0,193,1,1,0.5338350000000001
train,159,39352,-9.595999999999998,96,0,193,1,1,0.532695
train,160,39402,-6.549999999999997,50,0,193,1,1,0.53210125
validation,161,40000,1.0000000000000542,1000,0,193,1,1,0.0
train,161,40464,87.43799999999983,1062,1,194,2,2,0.51949
train,162,40559,-11.094999999999995,95,0,194,1,1,0.518361875
train,163,41082,392.47700000000486,523,4,198,5,5,0.5121512500000001
train,164,41459,90.62299999999927,377,1,199,2,2,0.507674375
train,165,41471,-12.511999999999999,12,0,199,1,1,0.507531875
train,166,41529,-9.557999999999998,58,0,199,1,1,0.5068431250000001
train,167,41567,-3.5380000000000003,38,0,199,1,1,0.506391875
train,168,42016,389.0510000000005,449,4,203,5,5,0.5010600000000001
train,169,42120,90.3959999999997,104,1,204,2,2,0.4998250000000001
train,170,42200,94.91999999999979,80,1,205,2,2,0.49887500000000007
train,171,42681,187.0189999999986,481,2,207,3,3,0.49316312500000004
train,172,42982,-4.301000000000036,301,0,207,1,1,0.48958875000000013
train,173,44494,192.487999999999,1512,2,209,3,3,0.4716337500000001
train,174,47840,393.6540000000018,3346,4,213,5,5,0.43190000000000006
train,175,48259,192.58099999999948,419,2,215,3,3,0.426924375
train,176,48723,399.03600000000097,464,4,219,5,5,0.421414375
train,177,49045,386.6780000000008,322,4,223,5,5,0.4175906250000001
train,178,49948,89.09699999999667,903,1,224,2,2,0.40686750000000005
validation,179,50000,-9.992007221626409e-16,1000,0,225,1,1,0.0
train,179,50246,489.2019999999993,298,5,229,5,5,0.40332875
train,180,50383,189.86299999999957,137,2,231,3,3,0.4017018750000001
train,181,50431,-6.547999999999998,48,0,231,1,1,0.401131875
train,182,50476,93.95499999999988,45,1,232,2,2,0.40059750000000005
train,183,50827,386.6490000000034,351,4,236,5,5,0.3964293750000001
train,184,51355,288.97199999999975,528,3,239,4,4,0.390159375
train,185,52008,488.8470000000016,653,5,244,6,6,0.382405
train,186,52194,95.8139999999993,186,1,245,2,2,0.38019625
train,187,52579,298.6150000000015,385,3,248,4,4,0.375624375
train,188,53098,394.981000000004,519,4,252,5,5,0.3694612500000001
train,189,53190,90.90799999999969,92,1,253,2,2,0.36836875
train,190,53609,498.0810000000022,419,5,258,6,6,0.363393125
train,191,53635,-17.026000000000007,26,0,258,1,1,0.363084375
train,192,54056,590.0790000000044,421,6,264,7,7,0.3580850000000001
train,193,54073,88.98299999999998,17,1,265,2,2,0.35788312499999997
train,194,54759,283.31399999999996,686,3,268,4,4,0.34973687500000006
train,195,55017,209.74199999999928,258,2,270,3,3,0.346673125
train,196,55030,-11.013,13,0,270,1,1,0.34651875
train,197,55291,396.73900000000253,261,4,274,5,5,0.3434193750000001
train,198,55865,187.42599999999786,574,2,276,3,3,0.336603125
train,199,55955,94.40999999999993,90,1,277,2,2,0.33553437499999994
train,200,56193,313.2620000000013,238,3,280,4,4,0.332708125
train,201,56498,389.69500000000164,305,4,284,5,5,0.32908625
train,202,56783,389.7150000000029,285,4,288,5,5,0.32570187500000003
train,203,56862,187.9209999999998,79,2,290,3,3,0.32476375
train,204,56968,389.89400000000035,106,4,294,5,5,0.32350500000000004
train,205,57074,88.39399999999992,106,1,295,2,2,0.32224625000000007
train,206,57459,484.11500000000194,385,5,300,6,6,0.31767437500000006
train,207,57727,490.2320000000019,268,5,305,6,6,0.314491875
train,208,57901,189.32599999999945,174,2,307,3,3,0.31242562500000004
train,209,58082,389.31900000000076,181,4,311,5,5,0.31027625000000003
train,210,58508,591.5740000000017,426,6,317,7,7,0.30521750000000003
train,211,58869,407.1390000000015,361,4,321,5,5,0.300930625
train,212,59573,96.29599999999972,704,1,322,2,2,0.292570625
train,213,59755,690.3180000000019,182,7,329,8,8,0.29040937499999997
validation,214,60000,99.49999999999528,1000,1,330,2,2,0.0
train,214,60435,575.3200000000016,680,6,335,7,7,0.282334375
train,215,60583,-2.647999999999996,148,0,335,1,1,0.28057687500000006
train,216,60613,89.46999999999989,30,1,336,2,2,0.280220625
train,217,60766,-4.153000000000018,153,0,336,1,1,0.27840375000000006
train,218,61123,403.14300000000014,357,4,340,5,5,0.274164375
train,219,61233,84.88999999999959,110,1,341,2,2,0.27285812499999995
train,220,61354,90.37899999999966,121,1,342,2,2,0.27142125000000006
train,221,62111,491.24300000000596,757,5,347,6,6,0.262431875
train,222,62178,-10.067,67,0,347,1,1,0.26163625
train,223,62452,195.22599999999886,274,2,349,3,3,0.25838250000000007
train,224,62542,191.9099999999996,90,2,351,3,3,0.25731375
train,225,64060,391.9820000000043,1518,4,355,5,5,0.2392875000000001
train,226,64289,285.27099999999933,229,3,358,4,4,0.23656812500000013
train,227,64465,390.324000000002,176,4,362,5,5,0.23447812499999998
train,228,64709,293.25600000000054,244,3,365,4,4,0.23158062499999998
train,229,64945,180.26399999999913,236,2,367,3,3,0.22877812499999994
train,230,65173,291.77199999999976,228,3,370,4,4,0.22607062500000008
train,231,65313,193.35999999999945,140,2,372,3,3,0.22440812500000007
train,232,65632,387.18099999999936,319,4,376,5,5,0.22062000000000004
train,233,65833,282.2989999999996,201,3,379,4,4,0.21823312500000003
train,234,66362,599.9710000000013,529,6,385,7,7,0.21195125000000004
train,235,66386,-3.524000000000001,24,0,385,1,1,0.21166625000000006
train,236,66492,-6.606000000000007,106,0,385,1,1,0.21040749999999997
train,237,66854,594.1380000000046,362,6,391,7,7,0.20610875000000006
train,238,67042,390.8120000000009,188,4,395,5,5,0.20387624999999998
train,239,67565,791.4770000000046,523,8,403,9,9,0.19766562500000007
train,240,67723,185.3419999999998,158,2,405,3,3,0.19578937499999993
train,241,67892,389.83100000000104,169,4,409,5,5,0.19378249999999997
train,242,68103,392.7890000000009,211,4,413,5,5,0.191276875
train,243,68265,192.33799999999985,162,2,415,3,3,0.189353125
train,244,69181,602.5840000000051,916,6,421,7,7,0.17847562500000003
train,245,69652,491.0290000000035,471,5,426,6,6,0.17288250000000005
train,246,69961,600.1910000000013,309,6,432,7,7,0.16921312499999996
validation,247,70000,583.2010000000037,299,6,434,7,7,0.0
train,247,70001,199.4609999999999,40,2,434,1,3,0.16873812500000007
train,248,70415,790.5860000000076,414,8,442,9,9,0.163821875
train,249,70867,600.0480000000064,452,6,448,7,7,0.15845437500000004
train,250,71015,98.85199999999946,148,1,449,2,2,0.15669687500000007
train,251,71246,591.7690000000028,231,6,455,7,7,0.15395375
train,252,71517,713.729000000003,271,7,462,8,8,0.15073562500000004
train,253,71763,398.2540000000006,246,4,466,5,5,0.14781437500000005
train,254,72393,606.8700000000052,630,6,472,7,7,0.14033312500000006
train,255,72547,93.3459999999998,154,1,473,2,2,0.13850437500000012
train,256,72611,183.93599999999986,64,2,475,3,3,0.13774437500000003
train,257,72927,480.68400000000145,316,5,480,6,6,0.1339918750000001
train,258,73194,388.73300000000177,267,4,484,5,5,0.13082125
train,259,73438,388.7560000000001,244,4,488,6,6,0.12792375
train,260,75021,196.4169999999946,1583,2,490,3,3,0.109125625
train,261,75186,494.8350000000024,165,5,495,6,6,0.10716625000000002
train,262,75976,391.21000000000095,790,4,499,5,5,0.09778500000000001
train,263,76597,595.8790000000021,621,6,505,7,7,0.09041062500000008
train,264,77190,487.407000000008,593,5,510,6,6,0.08336874999999999
train,265,77897,281.7930000000114,707,3,513,4,4,0.07497312500000008
validation,266,80000,-9.992007221626409e-16,1000,0,515,1,1,0.0
train,266,80159,375.73799999999414,2262,4,517,3,3,0.05
train,267,81395,277.76400000001973,1236,3,520,4,4,0.05
