game_index,food_eaten,kills,num_ticks_lived
757,16,1,227
758,2,0,25
759,14,2,264
760,0,0,24
761,2,0,40
762,19,2,188
763,3,0,59
764,1,0,22
765,0,0,14
766,8,2,98
767,2,0,34
768,2,0,58
769,6,0,127
770,23,0,422
771,18,0,227
772,0,0,251
773,0,0,39
774,8,0,105
775,15,0,159
776,1,1,33
777,7,2,166
778,4,1,58
779,3,0,88
780,0,0,251
781,2,2,24
782,10,1,244
783,3,0,110
784,0,0,14
785,5,1,153
786,2,0,27
787,5,0,59
788,19,2,233
789,3,0,69
790,16,2,269
791,15,2,248
792,1,0,39
793,2,0,111
794,8,1,349
795,5,0,151
796,8,3,86
797,11,0,125
798,4,0,76
799,0,0,10
800,9,3,131
801,32,1,472
802,0,0,10
803,3,0,298
804,2,0,89
805,30,2,360
806,4,0,60
807,4,0,46
808,4,0,79
809,12,1,112
810,7,0,123
811,1,0,66
812,0,0,31
813,2,0,31
814,1,1,51
815,7,0,163
816,3,1,40
817,8,2,138
818,37,3,525
819,2,0,19
820,26,2,316
821,13,2,137
822,11,2,183
823,6,1,125
824,2,0,56
825,6,0,412
826,1,0,55
827,1,1,14
828,1,0,14
829,0,0,20
830,1,0,23
831,6,0,169
832,6,2,121
833,2,0,30
834,2,1,42
835,10,0,101
836,10,2,147
837,7,0,87
838,7,0,53
839,1,0,17
840,6,2,80
841,8,0,212
842,5,0,109
843,15,0,187
844,1,1,12
845,0,0,7
846,9,2,317
847,1,0,16
848,1,0,18
849,1,0,35
850,3,1,60
851,1,0,33
852,1,0,29
853,2,1,47
854,7,0,348
855,2,1,28
856,16,1,294
857,8,3,138
858,12,0,162
859,2,1,29
860,23,0,341
861,14,3,183
862,13,2,204
863,7,2,84
864,19,1,280
865,3,0,48
866,13,1,110
867,8,0,122
868,2,0,59
869,25,3,431
870,0,1,11
871,8,1,91
872,3,0,22
873,1,0,23
874,1,1,42
875,11,0,177
876,6,1,97
877,21,2,245
878,16,2,202
879,9,2,120
880,3,0,50
881,4,0,64
882,14,0,379
883,0,0,6
884,3,0,110
885,0,0,16
886,5,1,76
887,33,3,459
