game_index,food_eaten,kills,num_ticks_lived
744,0,1,14
745,2,0,23
746,14,1,174
747,6,1,54
748,4,1,65
749,1,0,35
750,3,0,47
751,6,1,104
752,2,0,22
753,10,1,146
754,14,2,174
755,12,0,110
756,17,3,285
757,1,1,9
758,1,0,68
759,0,0,36
760,1,0,40
761,20,4,203
762,10,3,102
763,1,0,20
764,14,2,140
765,1,0,37
766,20,1,185
767,28,2,448
768,2,1,37
769,4,1,104
770,0,0,26
771,2,0,36
772,1,0,23
773,14,4,146
774,11,1,139
775,9,1,95
776,14,0,154
777,11,1,164
778,2,1,49
779,4,1,84
780,2,0,24
781,0,0,8
782,11,1,140
783,19,2,173
784,4,1,50
785,2,0,33
786,2,1,58
787,13,2,145
788,4,1,58
789,4,0,64
790,17,1,257
791,2,1,17
792,11,3,148
793,1,0,19
794,1,0,25
795,17,1,207
796,33,1,396
797,18,3,155
798,22,2,337
799,5,1,36
800,8,1,128
801,4,0,96
802,15,2,147
803,2,1,47
804,8,0,155
805,16,0,163
806,5,1,69
807,4,2,59
808,17,1,194
809,19,3,202
810,17,1,174
811,5,0,58
812,1,2,26
813,22,3,268
814,3,1,44
815,3,0,41
816,16,1,159
817,0,0,33
818,1,0,9
819,14,2,205
820,11,1,102
821,0,0,8
822,22,1,294
823,2,1,52
824,16,3,148
825,2,0,37
826,8,0,149
827,0,1,33
828,22,4,232
829,20,2,272
830,3,1,26
831,2,0,21
832,0,0,12
833,1,0,19
834,1,1,16
835,20,1,182
836,0,0,10
837,22,1,254
838,16,0,188
839,0,0,13
840,0,0,251
841,11,2,232
842,4,1,84
843,6,2,51
844,5,0,64
845,4,1,73
846,7,0,118
847,1,1,19
848,16,0,229
849,14,1,199
850,3,1,55
851,15,0,187
852,1,0,20
853,1,0,45
854,8,1,107
855,4,0,42
856,5,1,45
857,0,0,15
858,17,2,198
859,9,1,95
860,23,4,353
861,19,1,277
862,1,0,16
863,17,2,178
864,0,1,22
865,15,0,158
866,6,2,73
867,12,4,139
868,8,2,117
869,1,0,33
870,14,2,175
871,2,1,32
872,10,1,113
873,7,1,122
874,16,1,160
875,11,4,177
876,0,1,24
877,10,1,170
878,1,1,16
879,2,0,19
880,4,1,61
881,14,1,194
882,4,1,106
883,3,0,291
884,13,2,165
885,0,0,16
886,11,1,142
887,5,1,88
888,12,0,112
889,2,0,62
890,0,0,19
891,4,0,43
892,2,1,51
893,3,1,34
894,7,0,111
895,3,2,41
896,18,4,202
897,19,3,201
898,2,1,40
899,2,0,34
900,17,1,176
901,18,4,185
902,8,0,104
903,12,1,130
904,10,0,142
