game_index,food_eaten,kills,num_ticks_lived
591,2,2,64
592,0,0,251
593,5,0,122
594,9,2,58
595,0,0,38
596,1,0,290
597,2,0,80
598,0,0,49
599,6,1,116
600,1,0,42
601,0,0,251
602,5,2,171
603,7,1,375
604,2,0,112
605,1,1,67
606,1,0,30
607,4,1,167
608,0,0,88
609,0,0,24
610,3,0,115
611,6,0,333
612,0,1,18
613,0,0,35
614,6,1,124
615,6,1,144
616,4,2,84
617,4,0,123
618,6,2,80
619,1,0,72
620,5,0,327
621,2,1,172
622,0,0,83
623,0,0,99
624,5,1,97
625,0,1,24
626,1,1,277
627,0,0,20
628,4,1,53
629,6,0,245
630,7,1,159
631,6,1,288
632,4,1,64
633,1,0,266
634,3,0,94
635,2,0,73
636,2,2,29
637,1,1,20
638,1,2,52
639,1,0,66
640,13,2,149
641,1,1,103
642,6,0,127
643,7,1,96
644,0,0,20
645,1,0,48
646,4,1,130
647,6,0,114
648,2,0,67
649,4,2,69
650,7,1,60
651,3,1,42
652,7,2,91
653,8,0,258
654,3,2,85
655,0,1,31
656,0,0,34
657,1,0,30
658,2,0,68
659,2,0,289
660,4,1,169
661,0,1,12
662,1,0,88
663,0,0,13
664,14,1,135
665,0,0,14
666,3,0,45
667,9,1,161
668,2,1,59
669,1,0,55
670,1,1,57
671,1,0,38
672,5,0,120
673,5,0,411
674,0,0,46
675,4,1,115
676,4,0,89
677,3,1,74
678,13,1,313
679,8,0,139
680,5,1,94
681,0,0,251
682,8,1,109
683,0,0,23
684,11,1,168
685,1,0,34
686,1,0,32
687,1,1,24
688,1,0,276
689,3,0,54
690,0,0,44
691,1,1,64
692,2,0,56
693,1,0,124
694,1,0,77
695,2,0,181
696,12,2,120
697,7,0,95
698,0,0,22
699,0,1,42
700,9,1,151
701,7,0,368
702,4,3,61
703,7,1,108
704,0,0,99
705,5,0,321
706,3,0,74
707,0,0,16
708,3,1,98
709,3,0,87
710,1,1,45
711,6,1,136
712,9,1,86
713,4,1,131
714,6,1,69
715,7,0,143
716,0,0,13
717,1,0,59
718,4,1,101
719,5,1,99
720,0,0,16
721,3,0,93
722,9,1,155
723,0,0,79
724,2,0,53
725,0,0,21
726,4,0,511
727,2,0,56
728,3,1,61
729,0,1,22
730,1,0,24
731,3,2,241
732,1,1,129
733,8,1,103
734,2,0,133
735,0,0,251
736,4,1,64
737,4,0,63
738,4,1,156
739,4,1,75
740,3,0,116
741,3,0,66
742,3,0,69
743,2,0,57
744,3,1,63
745,0,0,25
746,4,1,84
747,2,1,28
748,0,0,28
749,1,0,269
750,0,0,39
751,10,1,133
752,0,0,120
753,0,0,36
754,0,0,65
755,1,0,11
756,1,0,34
757,2,1,227
758,7,0,347
759,1,0,74
760,4,0,76
761,4,0,112
762,0,0,38
763,0,0,67
764,6,1,82
765,4,0,61
766,0,0,28
767,4,0,70
768,3,0,305
769,2,0,96
770,1,0,45
771,4,2,180
772,0,0,251
773,5,0,65
774,12,1,204
775,0,0,14
776,1,1,33
777,1,1,40
778,4,2,58
779,2,1,84
780,3,1,278
781,0,1,24
782,4,1,88
783,8,1,113
784,10,1,139
785,6,2,149
786,5,1,86
787,5,1,165
788,4,0,72
789,3,0,65
790,0,0,50
791,6,0,128
792,1,0,45
793,5,2,111
794,6,1,95
795,6,2,156
796,2,0,76
797,1,0,45
798,4,2,43
799,6,1,368
800,1,0,102
801,12,3,132
802,6,0,80
803,1,0,46
804,4,1,222
805,0,0,11
806,0,0,12
807,0,0,31
808,0,0,36
809,1,0,10
810,7,0,107
811,1,1,35
812,0,0,24
813,4,1,75
814,8,1,127
815,0,0,30
816,1,1,40
817,9,2,124
818,1,0,31
819,0,0,34
820,2,1,69
821,0,0,26
822,2,1,33
823,0,0,23
824,4,0,64
825,2,0,37
826,1,0,176
827,0,1,14
828,5,0,101
829,1,0,126
830,5,0,423
831,3,1,163
832,3,0,55
833,0,0,50
834,2,1,42
835,3,0,221
836,1,0,35
837,7,2,130
838,2,0,35
839,8,2,122
840,1,1,71
841,1,0,65
842,4,0,50
843,0,0,21
844,0,1,12
845,1,0,24
846,1,0,61
847,2,0,441
848,3,0,88
849,3,0,98
850,1,0,43
851,4,0,89
852,5,2,66
853,1,2,47
854,3,1,107
855,0,1,28
856,7,1,84
857,2,1,138
858,4,0,164
859,7,1,152
860,1,0,37
861,2,0,122
862,6,1,204
863,4,0,84
864,7,1,278
865,3,0,104
866,2,0,24
867,0,0,16
868,7,1,129
869,5,0,144
870,0,1,11
871,3,1,91
872,12,0,169
873,1,0,48
874,4,1,83
875,0,0,18
876,1,1,97
877,1,0,168
878,0,0,39
879,4,1,120
880,4,1,67
881,7,2,95
882,3,0,87
883,2,0,73
884,0,0,38
885,3,2,63
886,2,0,66
887,4,0,178
888,0,1,32
889,0,0,22
890,2,0,29
891,0,0,127
892,5,1,260
893,6,0,82
894,0,0,51
895,0,0,29
896,4,0,113
897,1,0,43
898,0,0,31
899,3,0,69
900,2,0,46
901,3,0,74
902,3,0,87
903,9,1,142
904,0,0,81
905,4,1,60
906,9,1,134
907,4,1,88
908,2,0,97
909,4,1,136
910,0,0,26
911,2,0,99
912,4,0,69
913,1,0,22
914,11,1,156
915,6,2,196
916,1,1,36
917,1,0,111
918,3,0,103
919,1,0,105
920,2,0,37
921,0,0,93
922,2,0,70
923,1,0,111
924,2,0,36
925,1,0,79
926,2,1,51
927,4,1,68
928,6,0,80
929,0,1,60
930,0,0,56
931,6,2,158
932,0,1,17
933,1,1,37
934,0,0,14
935,8,2,107
936,5,2,103
937,4,0,180
938,6,1,182
939,5,1,355
940,0,0,17
941,1,0,44
942,6,1,86
943,0,0,25
944,7,4,104
945,7,1,161
946,2,0,134
947,2,1,67
948,7,0,103
949,4,1,135
950,0,1,10
951,1,0,65
952,2,0,49
953,13,2,179
954,0,0,43
955,4,1,117
956,6,1,308
957,5,1,137
958,0,0,13
959,1,0,59
960,14,1,157
961,4,0,41
962,7,0,438
963,0,0,38
964,1,1,49
965,2,1,98
966,1,0,33
967,7,2,151
968,5,1,113
969,4,1,100
970,4,1,81
971,2,0,326
972,1,0,21
973,4,0,318
974,1,1,42
975,14,1,174
976,5,1,98
977,6,4,89
978,0,0,30
979,2,0,94
980,6,1,116
981,0,1,42
982,2,0,280
983,4,0,389
